"BIOME" "ECO_NAME" "ECO_ID" "Lon" "Lat"
"101" 6 "Northeast Siberian taiga" 80605 157.75 67.75
"102" 6 "Northwest Territories taiga" 50614 -134.25 68.25
"103" 6 "Scandinavian and Russian taiga" 80608 21.75 68.25
"104" 6 "Northeast Siberian taiga" 80605 143.75 68.25
"105" 6 "Northeast Siberian taiga" 80605 144.25 68.75
"106" 6 "Northeast Siberian taiga" 80605 153.75 69.25
"107" 6 "East Siberian taiga" 80601 125.75 69.75
"108" 6 "East Siberian taiga" 80601 123.25 70.25
"109" 4 "New England-Acadian forests" 50410 -67.25 47.25
"110" 4 "Eastern forest-boreal transition" 50406 -80.25 48.25
"111" 6 "Eastern Canadian forests" 50605 -64.75 48.75
"112" 8 "Selenge-Orkhon forest steppe" 80816 103.25 48.75
"113" 4 "Western Great Lakes forests" 50416 -94.75 49.75
"114" 6 "Okhotsk-Manchurian taiga" 80606 137.75 49.75
"115" 6 "Central Canadian Shield forests" 50602 -75.75 50.25
"116" 6 "Eastern Canadian forests" 50605 -62.25 50.75
"117" 6 "Trans-Baikal conifer forests" 80609 103.75 50.75
"118" 6 "Trans-Baikal conifer forests" 80609 113.25 51.25
"119" 6 "Mid-Continental Canadian forests" 50608 -101.25 51.75
"120" 5 "Da Hinggan-Dzhagdy Mountains conifer forests" 80505 120.75 51.75
"121" 6 "Midwestern Canadian Shield forests" 50609 -95.25 52.25
"122" 4 "Manchurian mixed forests" 80426 126.75 52.25
"123" 6 "Central Canadian Shield forests" 50602 -89.75 52.75
"124" 6 "Southern Hudson Bay taiga" 50616 -84.25 53.25
"125" 6 "Okhotsk-Manchurian taiga" 80606 139.75 53.25
"126" 6 "Eastern Canadian Shield taiga" 50606 -78.75 53.75
"127" 4 "Sarmatic mixed forests" 80436 34.75 53.75
"128" 8 "South Siberian forest steppe" 80817 90.75 53.75
"129" 6 "Eastern Canadian Shield taiga" 50606 -67.75 54.25
"130" 4 "East European forest steppe" 80419 50.25 54.25
"131" 6 "East Siberian taiga" 80601 106.25 54.25
"132" 8 "Canadian Aspen forests and parklands" 50802 -112.75 54.75
"133" 8 "Kazakh forest steppe" 80809 68.75 54.75
"134" 6 "East Siberian taiga" 80601 125.25 54.75
"135" 6 "Midwestern Canadian Shield forests" 50609 -96.25 55.25
"136" 4 "Sarmatic mixed forests" 80436 36.75 55.25
"137" 6 "East Siberian taiga" 80601 92.75 55.25
"138" 6 "Eastern Canadian Shield taiga" 50606 -64.75 55.75
"139" 4 "Western Siberian hemiboreal forests" 80444 63.25 55.75
"140" 6 "East Siberian taiga" 80601 119.25 55.75
"141" 6 "Midwestern Canadian Shield forests" 50609 -104.25 56.25
"142" 4 "Sarmatic mixed forests" 80436 34.25 56.25
"143" 4 "Western Siberian hemiboreal forests" 80444 90.25 56.25
"144" 6 "Eastern Canadian Shield taiga" 50606 -69.25 56.75
"145" 6 "Ural montane forests and tundra" 80610 58.75 56.75
"146" 6 "Mid-Continental Canadian forests" 50608 -112.75 57.25
"147" 4 "Sarmatic mixed forests" 80436 31.75 57.25
"148" 6 "West Siberian taiga" 80611 87.75 57.25
"149" 6 "Kamchatka-Kurile taiga" 80604 161.25 57.25
"150" 6 "Eastern Canadian Shield taiga" 50606 -68.75 57.75
"151" 6 "West Siberian taiga" 80611 64.75 57.75
"152" 6 "Midwestern Canadian Shield forests" 50609 -107.75 58.25
"153" 6 "Scandinavian and Russian taiga" 80608 39.75 58.25
"154" 6 "East Siberian taiga" 80601 95.75 58.25
"155" 6 "West Siberian taiga" 80611 70.75 58.75
"156" 6 "East Siberian taiga" 80601 126.75 58.75
"157" 6 "Scandinavian and Russian taiga" 80608 43.25 59.25
"158" 6 "East Siberian taiga" 80601 99.25 59.25
"159" 6 "West Siberian taiga" 80611 66.75 59.75
"160" 6 "East Siberian taiga" 80601 122.75 59.75
"161" 6 "Yukon Interior dry forests" 50617 -133.75 60.25
"162" 6 "Scandinavian and Russian taiga" 80608 11.75 60.25
"163" 6 "West Siberian taiga" 80611 75.25 60.25
"164" 6 "East Siberian taiga" 80601 131.25 60.25
"165" 6 "Northern Cordillera forests" 50613 -130.25 60.75
"166" 6 "Scandinavian and Russian taiga" 80608 14.25 60.75
"167" 6 "West Siberian taiga" 80611 76.75 60.75
"168" 6 "East Siberian taiga" 80601 132.75 60.75
"169" 6 "Scandinavian and Russian taiga" 80608 12.25 61.25
"170" 6 "West Siberian taiga" 80611 75.25 61.25
"171" 6 "East Siberian taiga" 80601 131.25 61.25
"172" 6 "West Siberian taiga" 80611 66.75 61.75
"173" 6 "East Siberian taiga" 80601 122.75 61.75
"174" 6 "Interior Alaska-Yukon lowland taiga" 50607 -159.25 62.25
"175" 6 "Northern Canadian Shield taiga" 50612 -102.25 62.25
"176" 6 "Scandinavian and Russian taiga" 80608 47.25 62.25
"177" 6 "East Siberian taiga" 80601 103.25 62.25
"178" 6 "Scandinavian and Russian taiga" 80608 25.25 62.75
"179" 6 "West Siberian taiga" 80611 81.25 62.75
"180" 6 "Northeast Siberian taiga" 80605 137.25 62.75
"181" 6 "Scandinavian and Russian taiga" 80608 54.75 63.25
"182" 6 "East Siberian taiga" 80601 110.75 63.25
"183" 6 "Northwest Territories taiga" 50614 -117.75 63.75
"184" 6 "Scandinavian and Russian taiga" 80608 19.25 63.75
"185" 6 "West Siberian taiga" 80611 77.25 63.75
"186" 6 "East Siberian taiga" 80601 133.25 63.75
"187" 6 "Interior Alaska-Yukon lowland taiga" 50607 -151.25 64.25
"188" 6 "Scandinavian and Russian taiga" 80608 41.25 64.25
"189" 6 "East Siberian taiga" 80601 97.25 64.25
"190" 6 "Northeast Siberian taiga" 80605 153.25 64.25
"191" 6 "Scandinavian and Russian taiga" 80608 51.75 64.75
"192" 6 "East Siberian taiga" 80601 107.75 64.75
"193" 6 "West Siberian taiga" 80611 66.25 65.25
"194" 6 "East Siberian taiga" 80601 122.25 65.25
"195" 6 "Northwest Territories taiga" 50614 -119.25 65.75
"196" 6 "Scandinavian and Russian taiga" 80608 13.25 65.75
"197" 6 "Northeast Siberian taiga" 80605 130.75 65.75
"198" 6 "Scandinavian and Russian taiga" 80608 32.75 66.25
"199" 6 "East Siberian taiga" 80601 92.75 66.25
"200" 6 "Northeast Siberian taiga" 80605 148.75 66.25
"201" 6 "Interior Alaska-Yukon lowland taiga" 50607 -144.25 66.75
"202" 6 "East Siberian taiga" 80601 112.75 66.75
"203" 6 "Northeast Siberian taiga" 80605 168.75 66.75
"204" 6 "Northeast Siberian taiga" 80605 133.75 67.25
"205" 6 "East Siberian taiga" 80601 102.25 67.75
"206" 6 "Northeast Siberian taiga" 80605 158.25 67.75
"207" 6 "Northwest Territories taiga" 50614 -133.75 68.25
"208" 6 "Scandinavian and Russian taiga" 80608 22.25 68.25
"209" 6 "East Siberian taiga" 80601 88.25 68.25
"210" 6 "Northeast Siberian taiga" 80605 144.25 68.25
"211" 6 "Northeast Siberian taiga" 80605 144.75 68.75
"212" 6 "Northeast Siberian taiga" 80605 154.25 69.25
"213" 6 "East Siberian taiga" 80601 126.25 69.75
"214" 6 "East Siberian taiga" 80601 123.75 70.25
"215" 6 "Eastern Canadian forests" 50605 -66.75 47.25
"216" 6 "Central Canadian Shield forests" 50602 -79.75 48.25
"217" 8 "Selenge-Orkhon forest steppe" 80816 103.75 48.75
"218" 4 "Western Great Lakes forests" 50416 -94.25 49.75
"219" 6 "Okhotsk-Manchurian taiga" 80606 138.25 49.75
"220" 6 "Central Canadian Shield forests" 50602 -75.25 50.25
"221" 6 "Eastern Canadian forests" 50605 -61.75 50.75
"222" 6 "Trans-Baikal conifer forests" 80609 104.25 50.75
"223" 6 "Trans-Baikal conifer forests" 80609 113.75 51.25
"224" 6 "Mid-Continental Canadian forests" 50608 -100.75 51.75
"225" 5 "Da Hinggan-Dzhagdy Mountains conifer forests" 80505 121.25 51.75
"226" 6 "Midwestern Canadian Shield forests" 50609 -94.75 52.25
"227" 4 "Manchurian mixed forests" 80426 127.25 52.25
"228" 6 "Central Canadian Shield forests" 50602 -89.25 52.75
"229" 6 "Southern Hudson Bay taiga" 50616 -83.75 53.25
"230" 6 "Okhotsk-Manchurian taiga" 80606 140.25 53.25
"231" 6 "Eastern Canadian Shield taiga" 50606 -78.25 53.75
"232" 4 "Sarmatic mixed forests" 80436 35.25 53.75
"233" 8 "South Siberian forest steppe" 80817 91.25 53.75
"234" 6 "Eastern Canadian Shield taiga" 50606 -67.25 54.25
"235" 4 "East European forest steppe" 80419 50.75 54.25
"236" 6 "East Siberian taiga" 80601 106.75 54.25
"237" 8 "Canadian Aspen forests and parklands" 50802 -112.25 54.75
"238" 8 "Kazakh forest steppe" 80809 69.25 54.75
"239" 6 "East Siberian taiga" 80601 125.75 54.75
"240" 6 "Midwestern Canadian Shield forests" 50609 -95.75 55.25
"241" 4 "Sarmatic mixed forests" 80436 37.25 55.25
"242" 6 "East Siberian taiga" 80601 93.25 55.25
"243" 6 "Eastern Canadian Shield taiga" 50606 -64.25 55.75
"244" 4 "Western Siberian hemiboreal forests" 80444 63.75 55.75
"245" 6 "East Siberian taiga" 80601 119.75 55.75
"246" 6 "Midwestern Canadian Shield forests" 50609 -103.75 56.25
"247" 4 "Sarmatic mixed forests" 80436 34.75 56.25
"248" 4 "Western Siberian hemiboreal forests" 80444 90.75 56.25
"249" 6 "Eastern Canadian Shield taiga" 50606 -68.75 56.75
"250" 6 "Ural montane forests and tundra" 80610 59.25 56.75
"251" 6 "East Siberian taiga" 80601 115.25 56.75
"252" 6 "Mid-Continental Canadian forests" 50608 -112.25 57.25
"253" 4 "Sarmatic mixed forests" 80436 32.25 57.25
"254" 6 "West Siberian taiga" 80611 88.25 57.25
"255" 6 "Kamchatka-Kurile meadows and sparse forests" 80603 161.75 57.25
"256" 6 "Eastern Canadian Shield taiga" 50606 -68.25 57.75
"257" 6 "West Siberian taiga" 80611 65.25 57.75
"258" 6 "East Siberian taiga" 80601 121.25 57.75
"259" 6 "Midwestern Canadian Shield forests" 50609 -107.25 58.25
"260" 6 "Scandinavian and Russian taiga" 80608 40.25 58.25
"261" 6 "East Siberian taiga" 80601 96.25 58.25
"262" 6 "West Siberian taiga" 80611 71.25 58.75
"263" 6 "East Siberian taiga" 80601 127.25 58.75
"264" 6 "Midwestern Canadian Shield forests" 50609 -107.75 59.25
"265" 6 "Scandinavian and Russian taiga" 80608 43.75 59.25
"266" 6 "East Siberian taiga" 80601 99.75 59.25
"267" 6 "West Siberian taiga" 80611 67.25 59.75
"268" 6 "East Siberian taiga" 80601 123.25 59.75
"269" 6 "Yukon Interior dry forests" 50617 -133.25 60.25
"270" 6 "Scandinavian and Russian taiga" 80608 12.25 60.25
"271" 6 "West Siberian taiga" 80611 75.75 60.25
"272" 6 "East Siberian taiga" 80601 131.75 60.25
"273" 6 "Northern Cordillera forests" 50613 -129.75 60.75
"274" 6 "Scandinavian and Russian taiga" 80608 14.75 60.75
"275" 6 "West Siberian taiga" 80611 77.25 60.75
"276" 6 "East Siberian taiga" 80601 133.25 60.75
"277" 6 "Scandinavian and Russian taiga" 80608 12.75 61.25
"278" 6 "West Siberian taiga" 80611 75.75 61.25
"279" 6 "East Siberian taiga" 80601 131.75 61.25
"280" 6 "West Siberian taiga" 80611 67.25 61.75
"281" 6 "East Siberian taiga" 80601 123.25 61.75
"282" 6 "Interior Alaska-Yukon lowland taiga" 50607 -158.75 62.25
"283" 6 "Northern Canadian Shield taiga" 50612 -101.75 62.25
"284" 6 "Scandinavian and Russian taiga" 80608 47.75 62.25
"285" 6 "East Siberian taiga" 80601 103.75 62.25
"286" 6 "Northwest Territories taiga" 50614 -125.25 62.75
"287" 6 "Scandinavian and Russian taiga" 80608 25.75 62.75
"288" 6 "West Siberian taiga" 80611 81.75 62.75
"289" 6 "Northeast Siberian taiga" 80605 137.75 62.75
"290" 6 "Scandinavian and Russian taiga" 80608 55.25 63.25
"291" 6 "East Siberian taiga" 80601 111.25 63.25
"292" 6 "Northwest Territories taiga" 50614 -117.25 63.75
"293" 6 "Scandinavian and Russian taiga" 80608 19.75 63.75
"294" 6 "West Siberian taiga" 80611 77.75 63.75
"295" 6 "Northeast Siberian taiga" 80605 133.75 63.75
"296" 6 "Interior Alaska-Yukon lowland taiga" 50607 -150.75 64.25
"297" 6 "Scandinavian and Russian taiga" 80608 41.75 64.25
"298" 6 "East Siberian taiga" 80601 97.75 64.25
"299" 6 "Northeast Siberian taiga" 80605 153.75 64.25
"300" 6 "Scandinavian and Russian taiga" 80608 52.25 64.75
"301" 6 "East Siberian taiga" 80601 108.25 64.75
"302" 6 "West Siberian taiga" 80611 66.75 65.25
"303" 6 "East Siberian taiga" 80601 122.75 65.25
"304" 6 "Northeast Siberian taiga" 80605 131.25 65.75
"305" 6 "Scandinavian and Russian taiga" 80608 33.25 66.25
"306" 6 "East Siberian taiga" 80601 93.25 66.25
"307" 6 "Northeast Siberian taiga" 80605 149.25 66.25
"308" 6 "Interior Alaska-Yukon lowland taiga" 50607 -143.75 66.75
"309" 6 "Scandinavian and Russian taiga" 80608 55.75 66.75
"310" 6 "East Siberian taiga" 80601 113.25 66.75
"311" 6 "Northeast Siberian taiga" 80605 134.25 67.25
"312" 6 "East Siberian taiga" 80601 102.75 67.75
"313" 6 "Northeast Siberian taiga" 80605 158.75 67.75
"314" 6 "Northwest Territories taiga" 50614 -133.25 68.25
"315" 6 "Scandinavian and Russian taiga" 80608 22.75 68.25
"316" 6 "East Siberian taiga" 80601 88.75 68.25
"317" 6 "Northeast Siberian taiga" 80605 144.75 68.25
"318" 6 "Northeast Siberian taiga" 80605 145.25 68.75
"319" 6 "East Siberian taiga" 80601 126.75 69.75
"320" 6 "East Siberian taiga" 80601 124.25 70.25
"321" 6 "East Siberian taiga" 80601 113.25 71.25
"322" 6 "Eastern Canadian forests" 50605 -66.25 47.25
"323" 6 "Central Canadian Shield forests" 50602 -79.25 48.25
"324" 6 "Eastern Canadian forests" 50605 -58.25 48.75
"325" 8 "Selenge-Orkhon forest steppe" 80816 104.25 48.75
"326" 4 "Western Great Lakes forests" 50416 -93.75 49.75
"327" 6 "Okhotsk-Manchurian taiga" 80606 138.75 49.75
"328" 6 "Central Canadian Shield forests" 50602 -74.75 50.25
"329" 6 "Eastern Canadian forests" 50605 -61.25 50.75
"330" 6 "Trans-Baikal conifer forests" 80609 104.75 50.75
"331" 8 "Kazakh forest steppe" 80809 58.25 51.25
"332" 6 "Trans-Baikal conifer forests" 80609 114.25 51.25
"333" 8 "Canadian Aspen forests and parklands" 50802 -100.25 51.75
"334" 5 "Da Hinggan-Dzhagdy Mountains conifer forests" 80505 121.75 51.75
"335" 6 "Midwestern Canadian Shield forests" 50609 -94.25 52.25
"336" 4 "Manchurian mixed forests" 80426 127.75 52.25
"337" 6 "Central Canadian Shield forests" 50602 -88.75 52.75
"338" 6 "Southern Hudson Bay taiga" 50616 -83.25 53.25
"339" 8 "Kazakh forest steppe" 80809 83.75 53.25
"340" 6 "Okhotsk-Manchurian taiga" 80606 140.75 53.25
"341" 6 "Eastern Canadian Shield taiga" 50606 -77.75 53.75
"342" 4 "East European forest steppe" 80419 35.75 53.75
"343" 8 "South Siberian forest steppe" 80817 91.75 53.75
"344" 6 "Eastern Canadian Shield taiga" 50606 -66.75 54.25
"345" 4 "East European forest steppe" 80419 51.25 54.25
"346" 6 "East Siberian taiga" 80601 107.25 54.25
"347" 6 "Mid-Continental Canadian forests" 50608 -111.75 54.75
"348" 8 "Kazakh forest steppe" 80809 69.75 54.75
"349" 6 "East Siberian taiga" 80601 126.25 54.75
"350" 6 "Midwestern Canadian Shield forests" 50609 -95.25 55.25
"351" 4 "Sarmatic mixed forests" 80436 37.75 55.25
"352" 6 "East Siberian taiga" 80601 93.75 55.25
"353" 6 "Eastern Canadian Shield taiga" 50606 -63.75 55.75
"354" 4 "Western Siberian hemiboreal forests" 80444 64.25 55.75
"355" 6 "East Siberian taiga" 80601 120.25 55.75
"356" 6 "Midwestern Canadian Shield forests" 50609 -103.25 56.25
"357" 4 "Sarmatic mixed forests" 80436 35.25 56.25
"358" 6 "West Siberian taiga" 80611 91.25 56.25
"359" 6 "Alaska Peninsula montane taiga" 50601 -158.25 56.75
"360" 6 "Eastern Canadian Shield taiga" 50606 -68.25 56.75
"361" 6 "Ural montane forests and tundra" 80610 59.75 56.75
"362" 6 "East Siberian taiga" 80601 115.75 56.75
"363" 6 "Mid-Continental Canadian forests" 50608 -111.75 57.25
"364" 4 "Sarmatic mixed forests" 80436 32.75 57.25
"365" 6 "West Siberian taiga" 80611 88.75 57.25
"366" 6 "Eastern Canadian Shield taiga" 50606 -67.75 57.75
"367" 6 "West Siberian taiga" 80611 65.75 57.75
"368" 6 "East Siberian taiga" 80601 121.75 57.75
"369" 6 "Midwestern Canadian Shield forests" 50609 -106.75 58.25
"370" 6 "Scandinavian and Russian taiga" 80608 40.75 58.25
"371" 6 "East Siberian taiga" 80601 96.75 58.25
"372" 6 "West Siberian taiga" 80611 71.75 58.75
"373" 6 "East Siberian taiga" 80601 127.75 58.75
"374" 6 "Midwestern Canadian Shield forests" 50609 -107.25 59.25
"375" 6 "Scandinavian and Russian taiga" 80608 44.25 59.25
"376" 6 "East Siberian taiga" 80601 100.25 59.25
"377" 6 "West Siberian taiga" 80611 67.75 59.75
"378" 6 "East Siberian taiga" 80601 123.75 59.75
"379" 6 "Yukon Interior dry forests" 50617 -132.75 60.25
"380" 6 "Scandinavian and Russian taiga" 80608 12.75 60.25
"381" 6 "West Siberian taiga" 80611 76.25 60.25
"382" 6 "East Siberian taiga" 80601 132.25 60.25
"383" 6 "Northern Cordillera forests" 50613 -129.25 60.75
"384" 6 "Scandinavian and Russian taiga" 80608 15.25 60.75
"385" 6 "West Siberian taiga" 80611 77.75 60.75
"386" 6 "East Siberian taiga" 80601 133.75 60.75
"387" 6 "Scandinavian and Russian taiga" 80608 13.25 61.25
"388" 6 "West Siberian taiga" 80611 76.25 61.25
"389" 6 "East Siberian taiga" 80601 132.25 61.25
"390" 6 "West Siberian taiga" 80611 67.75 61.75
"391" 6 "East Siberian taiga" 80601 123.75 61.75
"392" 6 "Interior Alaska-Yukon lowland taiga" 50607 -158.25 62.25
"393" 6 "Northern Canadian Shield taiga" 50612 -101.25 62.25
